Name;GroupName;DoctorName;Symptom1;Symptom2;Symptom3;Symptom4;Symptom5;Symptom6;Symptom7;Symptom8;Symptom9;Symptom10;Symptom11;Symptom12;Symptom13;Symptom14;Symptom15;Symptom16;Symptom17;Unnamed: 20
бронхит;респираторное;пульмонолог;одышка;озноб;болезненность в грудной клетке;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;озноб;болезненность в грудной клетке;слабость;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;болезненность в грудной клетке;слабость;усиленное выделение пота;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;слабость;усиленное выделение пота;хрипы;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;усиленное выделение пота;хрипы;повышение температуры;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;хрипы;повышение температуры;головные боли;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;болезненность в грудной клетке;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;одышка;озноб;болезненность в грудной клетке;слабость;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;слабость;усиленное выделение пота;хрипы;повышение температуры;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;усиленное выделение пота;хрипы;повышение температуры;головные боли;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;болезненность в грудной клетке;слабость;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;слабость;усиленное выделение пота;хрипы;повышение температуры;головные боли;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;головные боли;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;;;;;;;;;;;
бронхит;респираторное;пульмонолог;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;;;;;;;;;;;
бронхит;респираторное;пульмонолог;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;головные боли;;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;;;;;;;;;;
бронхит;респираторное;пульмонолог;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;головные боли;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;болезненность в грудной клетке;слабость;усиленное выделение пота;хрипы;повышение температуры;головные боли;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;снижение артериального давления;учащение пульса;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;учащение пульса;головная боль;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головная боль;головокружение;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головокружение;тошнота;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;тошнота;рвота;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;рвота;понос;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;понос;боль в желудке;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;учащение пульса;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;снижение артериального давления;учащение пульса;головная боль;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;учащение пульса;головная боль;головокружение;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головная боль;головокружение;тошнота;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головокружение;тошнота;рвота;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;тошнота;рвота;понос;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;рвота;понос;боль в желудке;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;учащение пульса;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;учащение пульса;головная боль;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;учащение пульса;головная боль;головокружение;тошнота;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головная боль;головокружение;тошнота;рвота;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головокружение;тошнота;рвота;понос;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;тошнота;рвота;понос;боль в желудке;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головная боль;головокружение;тошнота;рвота;понос;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;;;;;
