Name;GroupName;DoctorName;Symptom1;Symptom2;Symptom3;Symptom4;Symptom5;Symptom6;Symptom7;Symptom8;Symptom9;Symptom10;Symptom11;Symptom12;Symptom13;Symptom14;Symptom15;Symptom16;Symptom17;Symptom18;Symptom19;Symptom20;Symptom21;Symptom22;Symptom23;Symptom24;Symptom25;Symptom26;Symptom27;Symptom28;Symptom29;Symptom30;
изжога;гастроэнтерологическое;гастроэнтеролог;повышенное слюноотделение;тошнота;горечь в ротовой полости;неприятные ощущения при глотании пищи;появление неприятного запаха изо рта;ощущение комка в горле;хронический кашель;охриплость голоса;проблемы со сном;плохой аппетит;;;;;;;;;;;;;;;;;;;;;
гастрит;гастроэнтерологическое;гастроэнтеролог;боль в области желудка;тошнота ;рвота с примесями крови;вздутие живота ;метеоризм;неприятный привкус во рту ;нарушения стула;тяжесть в желудке;слабость;отсутствие аппетита;повышение температуры;сильное газообразование;головокружение;отрыжка;рвотные позывы;;;;;;;;;;;;;;;;
язва желудка;гастроэнтерологическое;гастроэнтеролог;отрыжка кислым ;тошнота;позывы к рвоте;чувство тяжести в желудке;быстрое насыщение;потеря аппетита;нарушение стула;повышенное газообразование;вздутие живота;мелена;;;;;;;;;;;;;;;;;;;;;
Язва двенадцатиперстной кишки;гастроэнтерологическое;гастроэнтеролог;Боли в области живота;Тошнота;Вздутие живота;Отрыжка воздухом;Запоры;рвота;изжога;снижение аппетита;мелена;;;;;;;;;;;;;;;;;;;;;;
Кариес;стоматологическое;стоматолог;Неприятные ощущения при контакте зуба со сладким, кислым, холодным или горячим;Области потемнения эмали;Шероховатые участки на поверхности зуба;Неприятный запах изо рта;Образование различных дефектов в твердой зубной ткани;боль ;;;;;;;;;;;;;;;;;;;;;;;;;
Дефицит крови из-за дефицита железа;гематологическое;гематолог;повышенная утомляемость;головокружение;выпадение волос;бледность кожи;ломкость ногтей;ощущение покалывания и жжения кончика языка;тахикардия;синдром беспокойных ног;сонливость;бессонница;;;;;;;;;;;;;;;;;;;;;
Мигрень;неврологическое;невролог;головная боль;тошнота;рвота;потеря аппетита;головокружение;сонливость;повышенной чувствительностью к запахам, вкусам и свету;боль в животе ;;;;;;;;;;;;;;;;;;;;;;;
Генитальный герпес;венерическое;венеролог;боль при мочеиспускании;повышенная утомляемость;герпетические высыпания ;повышенная температура тела;головная боль;жжение в области гениталий;зуд;;;;;;;;;;;;;;;;;;;;;;;;
Заражение круглыми червями;паразитарное;инфекционист;мышечные боли;болезненность в животе;слабость;одышка;повышение температуры тела;метеоризм;быстрая утомляемость;повышенная раздражительность;озноб;общее ухудшение самочувствия;сухой кашель;расстройство стула;высыпания на коже;вспышки аппетита, перемежающиеся с полным равнодушием к еде;потеря веса;кожный зуд;апатия;;;;;;;;;;;;;;
ОРВИ;инфекционное;терапевт;сильные боли в горле;повышение температуры;насморк;чихание;кашель;болезненные ощущения при движении глаз;боли в мышцах;боль в груди;слабость;озноб;головная боль;снижение аппетита;;;;;;;;;;;;;;;;;;;
COVID-19 ;инфекционное;инфекционист;потеря вкуса;потеря обоняния ;покраснение глаз ;насморк;боль в горле;головная боль ;головокружение ;диарея ;рвота ;тошнота;;;;;;;;;;;;;;;;;;;;;
Авитаминоз;обменное;терапевт;повышенная утомляемость;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
